transport,payload_bytes,iter,conn_time_ms,duration_ms,throughput_mbps,success
iroh_relay_wan,100000,13,41.27,334.405,2.4301,True
iroh_relay_wan,100000,14,41.896,334.054,2.4327,True
iroh_relay_wan,100000,14,45.728,339.167,2.396,True
iroh_relay_wan,1000000,0,62.319,2908.059,2.7554,True
iroh_relay_wan,1000000,0,50.965,2932.277,2.7327,True
iroh_relay_wan,1000000,1,46.094,2916.021,2.7479,True
iroh_relay_wan,1000000,1,43.524,2915.354,2.7485,True
iroh_relay_wan,1000000,2,43.72,2875.183,2.7869,True
iroh_relay_wan,1000000,2,44.952,2896.223,2.7667,True
iroh_relay_wan,1000000,3,45.804,2909.851,2.7537,True
iroh_relay_wan,1000000,3,59.091,2930.287,2.7345,True
iroh_relay_wan,1000000,4,43.712,2906.78,2.7566,True
iroh_relay_wan,1000000,4,67.169,2920.522,2.7437,True
iroh_relay_wan,1000000,5,44.243,2903.767,2.7595,True
iroh_relay_wan,1000000,5,48.942,2900.001,2.7631,True
iroh_relay_wan,1000000,6,41.288,2906.229,2.7571,True
iroh_relay_wan,1000000,6,51.492,2925.091,2.7394,True
iroh_relay_wan,1000000,7,45.28,2878.067,2.7841,True
iroh_relay_wan,1000000,7,44.25,2916.602,2.7473,True
iroh_relay_wan,1000000,8,56.368,2888.222,2.7743,True
iroh_relay_wan,1000000,8,55.979,2933.109,2.7319,True
iroh_relay_wan,1000000,9,41.545,2874.397,2.7877,True
iroh_relay_wan,1000000,9,95.447,2958.778,2.7082,True
iroh_relay_wan,1000000,10,45.286,2891.967,2.7707,True
iroh_relay_wan,1000000,10,67.046,2933.772,2.7313,True
iroh_relay_wan,1000000,11,49.727,2893.697,2.7691,True
iroh_relay_wan,1000000,11,65.46,2991.705,2.6784,True
iroh_relay_wan,1000000,12,44.86,2892.307,2.7704,True
iroh_relay_wan,1000000,12,73.853,2973.386,2.6949,True
iroh_relay_wan,1000000,13,44.142,2893.213,2.7696,True
iroh_relay_wan,1000000,13,110.763,2989.662,2.6802,True
iroh_relay_wan,1000000,14,54.52,2899.095,2.7639,True
iroh_relay_wan,1000000,14,57.503,2897.956,2.765,True
iroh_relay_wan,10000000,0,47.698,28494.225,2.808,True
iroh_relay_wan,10000000,0,54.89,28419.612,2.8154,True
iroh_relay_wan,10000000,1,58.073,28434.607,2.8139,True
iroh_relay_wan,10000000,1,48.156,28371.735,2.8202,True
iroh_relay_wan,10000000,2,51.331,28417.997,2.8156,True
iroh_relay_wan,10000000,2,41.568,28367.619,2.8206,True
iroh_relay_wan,10000000,3,55.286,28428.116,2.8146,True
iroh_relay_wan,10000000,3,44.606,28402.325,2.8171,True
iroh_relay_wan,10000000,4,46.685,28477.089,2.8097,True
iroh_relay_wan,10000000,4,48.353,28381.141,2.8192,True
iroh_relay_wan,10000000,5,59.293,28456.359,2.8118,True
iroh_relay_wan,10000000,5,43.277,28387.012,2.8186,True
iroh_relay_wan,10000000,6,50.367,28586.801,2.7989,True
iroh_relay_wan,10000000,6,46.028,28413.619,2.816,True
iroh_relay_wan,10000000,7,43.123,28649.366,2.7928,True
iroh_relay_wan,10000000,7,55.119,28394.23,2.8179,True
iroh_relay_wan,10000000,8,46.953,28442.085,2.8132,True
iroh_relay_wan,10000000,8,45.518,28375.948,2.8197,True
iroh_relay_wan,10000000,9,50.665,28402.655,2.8171,True
iroh_relay_wan,10000000,9,45.144,28368.937,2.8204,True
iroh_relay_wan,10000000,10,63.491,28436.181,2.8138,True
iroh_relay_wan,10000000,10,750.969,29069.871,2.7524,True
iroh_relay_wan,10000000,11,46.768,28490.887,2.8084,True
iroh_relay_wan,10000000,11,56.238,28454.718,2.8119,True
iroh_relay_wan,10000000,12,61.685,28411.175,2.8162,True
iroh_relay_wan,10000000,12,46.548,28378.644,2.8195,True
iroh_relay_wan,10000000,13,48.038,28396.783,2.8177,True
iroh_relay_wan,10000000,13,51.496,28378.97,2.8194,True
iroh_relay_wan,10000000,14,49.524,28423.794,2.815,True
iroh_relay_wan,10000000,14,45.918,28422.081,2.8152,True
iroh_relay_wan,100000000,0,44.737,288740.545,2.7707,True
iroh_relay_wan,100000000,0,53.417,290039.34,2.7583,True
iroh_relay_wan,100000000,1,56.3,284038.301,2.8166,True
iroh_relay_wan,100000000,1,64.124,283641.132,2.8205,True
iroh_relay_wan,100000000,2,65.482,284902.236,2.808,True
iroh_relay_wan,100000000,2,52.226,286856.637,2.7889,True
iroh_relay_wan,100000000,3,52.711,291305.697,2.7463,True
iroh_relay_wan,100000000,3,50.373,283609.274,2.8208,True
iroh_relay_wan,100000000,4,49.758,284619.609,2.8108,True
iroh_relay_wan,100000000,4,54.95,283999.77,2.8169,True
iroh_relay_wan,100000000,5,50.436,283928.005,2.8177,True
iroh_relay_wan,100000000,5,45.692,283667.8,2.8202,True
iroh_relay_wan,100000000,6,58.924,283904.81,2.8179,True
iroh_relay_wan,100000000,6,61.186,283975.958,2.8172,True
iroh_relay_wan,100000000,7,51.706,283140.327,2.8255,True
iroh_relay_wan,100000000,7,49.331,282708.572,2.8298,True
iroh_relay_wan,100000000,8,62.582,282592.168,2.831,True
iroh_relay_wan,100000000,8,53.029,282633.622,2.8306,True
iroh_relay_wan,100000000,9,49.811,284008.801,2.8169,True
iroh_relay_wan,100000000,9,54.409,283631.526,2.8206,True
iroh_relay_wan,100000000,10,48.071,286717.867,2.7902,True
iroh_relay_wan,100000000,10,46.501,283668.588,2.8202,True
iroh_relay_wan,100000000,11,55.426,283978.765,2.8172,True
iroh_relay_wan,100000000,11,49.695,283873.523,2.8182,True
iroh_relay_wan,100000000,12,52.928,284070.254,2.8163,True
iroh_relay_wan,100000000,12,47.042,283760.448,2.8193,True
iroh_relay_wan,100000000,13,51.454,284081.708,2.8161,True
iroh_relay_wan,100000000,13,51.494,284054.137,2.8164,True
iroh_relay_wan,100000000,14,58.017,283987.562,2.8171,True
iroh_relay_wan,100000000,14,45.206,284177.085,2.8152,True
