provincia,fecha,NO2,O3,PM_particle,CO,velmedia,prec,label_ica,split
Avila,2012-12-12,35.0,25.0,24.0,0.2,1.7,0.1,2,train
Avila,2012-12-13,26.0,46.0,17.0,0.2,1.9,0.0,1,train
Avila,2012-12-14,6.0,74.0,15.0,0.2,6.4,0.2,0,train
Avila,2012-12-15,3.0,87.0,11.0,0.2,3.1,0.0,2,train
Avila,2012-12-16,2.0,80.0,11.0,0.2,4.7,0.2,2,train
Avila,2012-12-17,18.0,56.0,17.0,0.2,2.8,0.0,0,train
Avila,2012-12-18,28.0,29.0,22.0,0.2,0.8,0.2,0,train
Avila,2012-12-19,16.0,36.0,15.0,0.2,2.5,0.0,2,train
Avila,2012-12-20,9.0,65.0,14.0,0.2,3.1,0.0,1,train
Avila,2012-12-21,5.0,69.0,13.0,0.2,3.9,0.0,2,train
Avila,2012-12-22,18.0,36.0,16.0,0.2,1.4,0.0,0,train
Avila,2012-12-23,14.0,38.0,15.0,0.2,2.2,0.0,1,train
Avila,2012-12-24,7.0,70.0,15.0,0.2,5.3,0.0,2,train
Avila,2012-12-25,4.0,65.0,16.0,0.2,3.1,8.4,0,train
Avila,2012-12-26,13.0,45.0,15.0,0.2,1.4,0.0,1,train
Avila,2012-12-27,10.0,46.0,18.0,0.2,1.4,0.0,1,train
Avila,2012-12-28,19.0,41.0,18.0,0.2,1.4,0.0,0,train
Avila,2012-12-29,7.0,63.0,16.0,0.2,3.9,0.2,0,train
Avila,2012-12-30,12.0,61.0,19.0,0.2,2.5,0.0,0,train
Avila,2012-12-31,13.0,49.0,17.0,0.2,1.1,3.0,1,train
Avila,2013-01-01,5.0,69.0,18.0,0.2,2.8,0.0,0,train
Avila,2013-01-02,10.0,48.0,20.0,0.2,3.6,0.0,2,train
Avila,2013-01-03,9.0,86.0,26.0,0.2,2.5,0.0,0,train
Avila,2013-01-04,1.0,97.0,20.0,0.2,0.8,0.0,2,train
Avila,2013-01-05,3.0,76.0,10.0,0.2,1.4,0.0,0,train
Avila,2013-01-06,1.0,109.0,15.0,0.2,1.1,0.0,0,train
Avila,2013-01-07,10.0,79.0,20.0,0.2,1.1,0.0,0,train
Avila,2013-01-08,6.0,104.0,45.0,0.2,1.1,0.0,0,train
Avila,2013-01-09,13.0,64.0,23.0,0.2,1.9,0.4,0,train
Avila,2013-01-10,7.0,29.0,14.0,0.2,3.1,0.0,0,train
Avila,2013-01-11,24.0,26.0,14.0,0.2,2.2,0.0,0,train
Avila,2013-01-12,7.0,54.0,13.0,0.2,3.3,2.2,0,train
Avila,2013-01-13,2.0,79.0,12.0,0.2,5.0,0.6,0,train
Avila,2013-01-14,4.0,73.0,13.0,0.2,3.9,0.0,0,train
Avila,2013-01-15,2.0,80.0,15.0,0.2,5.0,1.2,0,train
Avila,2013-01-16,2.0,77.0,11.0,0.2,5.0,3.8,0,train
Avila,2013-01-17,3.0,76.0,14.0,0.2,4.2,5.2,0,train
Avila,2013-01-18,3.0,70.0,14.0,0.2,4.4,5.6,1,train
Avila,2013-01-19,2.0,81.0,12.0,0.2,6.9,4.2,1,train
Avila,2013-01-20,1.0,80.0,13.0,0.2,4.7,2.0,1,train
Avila,2013-01-21,3.0,79.0,14.0,0.2,5.6,0.0,2,train
Avila,2013-01-22,2.0,85.0,12.0,0.2,4.2,2.3,2,train
Avila,2013-01-23,4.0,83.0,13.0,0.2,5.0,1.6,2,train
Avila,2013-01-24,2.0,81.0,15.0,0.2,6.7,0.4,2,train
Avila,2013-01-25,9.0,64.0,14.0,0.2,1.7,2.0,0,train
Avila,2013-01-26,12.0,61.0,15.0,0.2,3.6,0.0,0,train
Avila,2013-01-27,9.0,58.0,13.0,0.2,3.9,0.6,2,train
Avila,2013-01-28,15.0,62.0,22.0,0.2,1.9,0.0,0,train
Avila,2013-01-29,24.0,31.0,22.0,0.2,1.7,0.0,0,train
Avila,2013-01-30,18.0,26.0,17.0,0.2,0.6,0.0,0,train
Avila,2013-01-31,20.0,28.0,20.0,0.2,0.8,0.0,0,train
Avila,2013-02-01,4.0,71.0,14.0,0.2,3.3,2.8,0,train
Avila,2013-02-02,1.0,83.0,14.0,0.2,6.9,0.0,2,train
Avila,2013-02-03,18.0,76.0,26.0,0.2,3.6,0.0,0,train
Avila,2013-02-04,7.0,84.0,21.0,0.2,1.9,0.0,1,train
Avila,2013-02-05,6.0,71.0,9.0,0.2,2.2,0.0,2,train
Avila,2013-02-06,1.0,85.0,14.0,0.2,6.7,0.2,0,train
Avila,2013-02-07,6.0,105.0,18.0,0.2,4.4,0.0,2,train
Avila,2013-02-08,5.0,97.0,26.0,0.2,6.1,1.4,2,train
Avila,2013-02-09,16.0,64.0,20.0,0.2,3.3,0.0,2,train
Avila,2013-02-10,6.0,32.0,14.0,0.2,4.2,2.5,2,train
Avila,2013-02-11,12.0,27.0,10.0,0.2,6.7,0.0,1,train
Avila,2013-02-12,21.0,32.0,25.0,0.2,4.2,0.0,2,train
Avila,2013-02-13,5.0,61.0,14.0,0.2,4.2,0.0,1,train
Avila,2013-02-14,17.0,49.0,19.0,0.2,1.7,0.0,1,train
Avila,2013-02-15,24.0,41.0,22.0,0.2,1.1,0.0,0,train
Avila,2013-02-16,21.0,40.0,18.0,0.2,1.1,0.0,0,train
Avila,2013-02-17,15.0,44.0,23.0,0.2,0.8,2.2,0,train
Avila,2013-02-18,12.0,66.0,19.0,0.2,2.5,0.4,1,train
